SPECID,COMMENT_FLAG,COMMENT
G02_Y3_001_310,1,"strong emission lines"               
G02_Y3_002_296,1,X                                     
G02_Y3_006_136,1,"v faint for 17 mag obj"              
G02_Y3_012_123,1,"double peaked emission lines"        
G02_Y3_012_189,1,c4                                    
G02_Y3_013_041,1,Aw                                    
G02_Y3_014_175,1,"line splitting Ha/Nii"               
G02_Y3_020_251,1,x                                     
G02_Y5_059_330,1,T1                                    
G02_Y5_073_208,1,"one emission line dominating m"      
G02_Y5_091_042,1,"if that's right thats the b!"       
G02_Y5_093_019,1,"complex Ha and OIII lines"           
G02_Y5_093_276,1,"another line red of Ha"              
G02_Y5_093_320,1,"what is the line red of Ha? i?"      
G02_Y5_112_354,1,"strange looking spectrum"            
G02_Y6_017_208,1,"I claim highest-z in GAMA"           
G09_Y1_AS1_048,1,"red slightly off?"                   
G09_Y1_AS1_292,1,SF                                    
G09_Y1_AS2_077,1,SF                                    
G09_Y1_AX1_099,1,SF                                    
G09_Y1_BN1_127,1,SF                                    
G09_Y1_BN1_160,1,SF                                    
G09_Y1_BN1_251,1,SF                                    
G09_Y1_BN2_130,1,"v strong em"                         
G09_Y1_BN2_310,1,SF                                    
G09_Y1_BS1_163,1,"Ha emission i"                       
G09_Y1_BS1_182,1,"Hb OIII blue"                        
G09_Y1_BS1_313,1,mstar                                 
G09_Y1_BS1_325,1,SF                                    
G09_Y1_BS2_087,1,SF                                    
G09_Y1_BS2_204,1,SF                                    
G09_Y1_BS2_206,1,"plenty of signal"                    
G09_Y1_BS2_317,1,"h alpha and OIII"                    
G09_Y1_BX2_233,1,SF                                    
G09_Y1_CN1_156,1,kstar                                 
G09_Y1_CN1_168,1,SF                                    
G09_Y1_CN1_394,1,"screwed Ha/NII"                      
G09_Y1_CX2_015,1,"Ha in abs"                           
G09_Y1_CX2_179,1,SF                                    
G09_Y1_DN1_156,1,SF                                    
G09_Y1_DN1_219,1,SF                                    
G09_Y1_DS1_253,1,SF                                    
G09_Y1_DS1_326,1,SF                                    
G09_Y1_DX2_361,1,SF                                    
G09_Y1_EN1_168,1,SF                                    
G09_Y1_EN1_379,1,SF                                    
G09_Y1_EN2_024,1,"large cosmic ray"                    
G09_Y1_ES2_125,1,SF                                    
G09_Y1_FN2_056,1,SF                                    
G09_Y1_FS1_021,1,"xcz = 0.28225 emz = 0.44917"         
G09_Y1_FS1_296,1,SF                                    
G09_Y1_FS1_332,1,SF                                    
G09_Y1_FS2_061,1,SF                                    
G09_Y1_FS2_127,1,SF                                    
G09_Y1_FX2_339,1,"High z star"                         
G09_Y1_test_133,1,SF                                    
G09_Y1_test_278,1,Mstar                                 
G09_Y2_004_355,1,SF                                    
G09_Y2_008_372,1,SF                                    
G09_Y2_011_107,1,SF                                    
G09_Y2_018_140,1,SF                                    
G09_Y2_019_158,1,star                                  
G09_Y2_019_161,1,star                                  
G09_Y2_019_181,1,star                                  
G09_Y2_019_292,1,"interesting ha profile"              
G09_Y2_020_011,1,"two apparent strong lines"           
G09_Y2_020_014,1,star                                  
G09_Y2_020_057,1,star                                  
