SPECID,fringe,reduction,sky,comment
G15_Y2_022_356,1,,,
G12_Y1_HS2_356,1,,,
G09_Y1_HS2_056,1,,,
G09_Y1_DS2_036,1,,,
G15_Y4_207_165,1,,,
G09_Y1_FN1_055,1,,,
G09_Y1_IN2_021,1,,,
G12_Y1_IS1_060,1,,,
G09_Y1_HN2_036,1,,,
G15_Y1_DN1_384,,1,,DN1 field error
G12_Y1_FS1_354,1,,,
G12_Y1_CS1_055,1,,,
G15_Y2_001_356,1,,,
G09_Y1_IS2_356,1,,,
G12_Y1_IS2_117,1,,,
G15_Y5_035_356,1,,,
G12_Y1_ND4_060,1,,,
G12_Y1_HND1_130,1,,,
G15_Y1_BS2_064,1,,,
G12_Y1_FS2_055,1,,,
G09_Y1_HS2_060,1,,,
G12_Y1_FS2_056,1,,,
G12_Y1_CS1_064,1,,,
G15_Y1_HN2_115,1,,,
G15_Y1_AN2_354,1,,,
G15_Y2_012_112,1,,,
G09_Y1_FN1_056,1,,,
G09_Y1_DS2_031,1,,,
G15_Y1_DN1_379,,1,,DN1 field error
G15_Y2_001_271,1,,,
G12_Y1_DS2_356,1,,,
G12_Y1_EX2_117,1,,,
G15_Y4_207_107,1,,,
G15_Y1_DN1_376,,1,,DN1 field error
G15_Y1_DN1_367,,1,,DN1 field error
G09_Y2_004_354,1,,,
G15_Y1_BS2_138,1,,,
G09_Y1_AN2_055,1,,,
G09_Y2_026_356,1,,,
G12_Y1_AX1_008,,,1,
G09_Y1_IN2_111,1,,,
G09_Y1_HS2_055,1,,,
G09_Y1_CS1_055,1,,,
G09_Y1_GS2_056,1,,,
G12_Y1_CS1_129,1,,,
G15_Y1_FN1_354,1,,,
G15_Y3_038_120,1,,,
G15_Y1_DS1_130,1,,,
G12_Y1_BS1_138,1,,,
G15_Y1_DN1_396,,1,,DN1 field error
G15_Y1_EN1_138,1,,,
G12_Y1_END1_130,1,,,
G12_Y1_ND3_168,1,,,
G15_Y1_AN2_003,1,,,
G15_Y4_216_356,1,,,
G15_Y1_HS1_023,1,,,
G15_Y4_205_353,1,,,
G12_Y1_HS2_354,1,,,
G12_Y1_DS1_064,1,,,
G09_Y1_DS2_060,1,,,
G15_Y2_022_028,1,,,
G15_Y4_205_370,1,,,
G12_Y1_ND3_165,1,,,
G15_Y1_DN1_378,,1,,DN1 field error
G09_Y1_GS1_107,1,,,
G15_Y1_ES2_111,1,,,
G12_Y1_FS1_130,1,,,
G09_Y1_GS2_031,1,,,
G15_Y1_HS1_117,1,,,
G09_Y1_BN2_129,1,,,
G15_Y1_GN1_276,1,,,
G12_Y2_011_021,1,,,
G15_Y1_AN2_021,1,,,
G12_Y1_DN1_354,1,,,
G12_Y1_ND3_031,1,,,
G09_Y1_AN2_040,1,,,
G15_Y3_008_271,1,,,
G12_Y1_EN1_064,1,,,
G12_Y1_FN1_276,1,,,
G09_Y1_BN2_055,1,,,
G09_Y1_DS2_055,1,,,
G09_Y1_HS2_036,1,,,
G09_Y1_IN2_028,1,,,
G12_Y1_HS2_276,1,,,
G15_Y1_FN1_276,1,,,
G09_Y2_031_271,1,,,
G09_Y1_DN1_056,1,,,
G12_Y1_ID1_079,1,,,
G15_Y2_003_356,1,,,
G15_Y2_014_110,1,,,
G12_Y1_ND5_023,1,,,
G15_Y4_216_211,1,,,
G09_Y1_GS2_132,1,,,
G02_Y4_034_354,1,,,
G12_Y1_HS2_115,1,,,
G15_Y1_DN1_002,,1,,DN1 field error
G12_Y1_IS1_107,1,,,
G15_Y1_BS2_056,1,,,
G09_Y1_HN1_008,1,,,
G15_Y1_DN1_395,,1,,DN1 field error
G12_Y1_ND6_031,1,,,
G09_Y1_IS2_008,1,,,
G09_Y1_AN2_139,1,,,
G09_Y1_FS2_055,1,,,
G15_Y1_AN2_080,1,,,
G09_Y1_BS1_138,1,,,
G15_Y2_011_115,1,,,
G09_Y1_FS1_003,1,,,
G15_Y3_003_241,1,,,
G15_Y3_029_112,1,,,
G12_Y1_ES1_008,1,,,
G15_Y2_011_120,1,,,
G09_Y1_GS2_060,1,,,
G02_Y4_031_079,1,,,
G15_Y1_IS1_071,1,,,
G12_Y1_DS2_276,1,,,
G15_Y1_DN1_004,,1,,DN1 field error
G09_Y1_DS2_040,1,,,
G09_Y1_GS1_122,1,,,
G09_Y1_CS1_054,1,,,
G12_Y1_HS1_056,1,,,
G12_Y1_HS1_060,1,,,
G15_Y1_EN1_060,1,,,
G15_Y1_GN1_130,1,,,
G15_Y1_AN2_023,1,,,
G12_Y1_IS2_276,1,,,
G09_Y1_AN2_138,1,,,
G09_Y1_BS1_055,1,,,
G15_Y1_GN1_063,,,1,
G12_Y1_DN1_360,1,,,
G15_Y1_DN1_320,,1,,DN1 field error
G02_Y4_040_086,1,,,
G15_Y1_DS1_023,1,,,
G09_Y1_ES2_060,,,,
G12_Y3_022_354,1,,,
G15_Y1_AS2_031,1,,,
G15_Y2_010_004,,,1,
G09_Y2_035_120,1,,,
G15_Y1_CN1_345,1,,,
G12_Y1_GN1_341,1,,,
G15_Y1_AS2_056,1,,,
G12_Y1_ND1_031,1,,,
G15_Y3_012_038,,1,,
G15_Y1_BS2_107,1,,,
G12_Y1_CS1_138,1,,,
G15_Y1_AN2_106,1,,,
G09_Y1_HN1_354,1,,,
G15_Y1_DN1_348,,1,,DN1 field error
G09_Y1_GS2_055,1,,,
G09_Y1_GN1_130,1,,,
G09_Y1_GS2_054,1,,,
G12_Y1_HS1_036,1,,,
G15_Y2_019_064,1,,,
G12_Y1_IN1_354,1,,,
G15_Y1_AN2_079,1,,,
G12_Y1_IND1_060,1,,,
G15_Y2_014_112,1,,,
G15_Y1_EN1_132,1,,,
G09_Y1_GN1_119,1,,,
G12_Y1_GN1_023,1,,,
G09_Y1_AN2_056,1,,,
G09_Y1_FN1_138,1,,,
G15_Y1_CN1_354,1,,,
G15_Y1_EN1_055,1,,,
G15_Y2_022_112,1,,,
G09_Y1_FS2_060,1,,,
G15_Y1_DN1_009,,1,,DN1 field error
G15_Y2_014_056,,1,,bad splice
G12_Y2_017_276,1,,,
G12_Y1_GND1_107,1,,,
