SPECID,OB star,AF star,Gstar,Kstar,Mstar
G15_Y3_021_065,,,,,1
G15_Y2_019_067,,,,,1
G15_Y2_019_108,,,,,1
G15_Y4_222_048,,,,,1
G15_Y6_085_020,,,,,1
G15_Y6_072_155,,1,,,
G15_Y3_032_205,,1,,,
G12_Y1_AX1_097,,,,,1
G15_Y3_050_039,,,,,1
G09_Y6_066_246,,1,,,
G02_Y3_016_134,,,1,,
G09_Y2_003_278,,,,,1
G09_Y1_BN2_319,,1,,,
G02_Y5_110_395,1,,,,
G02_Y3_018_333,,,1,,
G09_Y2_028_081,1,,,,
G02_Y3_013_219,,1,,,
G12_Y2_008_158,,1,,,
G12_Y1_BN1_169,,,,,1
G09_Y2_020_095,1,,,,
G09_Y1_EN2_374,,1,,,
G15_Y3_015_043,1,,,,
G12_Y6_058_033,,1,,,
G09_Y1_AN1_138,,1,,,
G12_Y1_DX2_154,,,,,1
G15_Y1_GN1_101,,,,,1
G15_Y6_096_259,,1,,,
G15_Y3_005_283,,,1,,
G15_Y6_102_346,,,1,,
G15_Y4_203_321,,,,,1
G15_Y4_203_214,1,,,,
G12_Y6_057_220,,,1,,
G15_Y3_002_235,1,,,,
G09_Y4_227_011,,,,,1
G15_Y4_212_102,,,,,1
G15_Y4_203_187,,,,,1
G15_Y2_008_005,,,,,1
G15_Y4_204_309,,,,,1
G09_Y5_014_240,,,,,1
G02_Y4_045_335,,,,,1
G12_Y1_AT_139,,,,,1
G02_Y4_032_127,,,,,1
G15_Y4_204_016,,,,,1
G15_Y2_013_207,,,,,1
G15_Y1_DS2_164,,,,,1
G15_Y4_203_214,1,,,,
G15_Y3_036_018,,,,,1
G15_Y3_036_032,,,,,1
G15_Y3_012_140,,,,,1
G12_Y1_FN1_275,,,,,1
G02_Y3_019_301,,,,,1
G12_Y5_014_141,,,,,1
G15_Y3_038_308,,,,,1
G15_Y1_FS2_304,,,,,1
G15_Y4_209_185,1,,,,
G12_Y1_HS1_349,1,,,,
G15_Y4_212_215,,,,,1
G15_Y3_001_258,,,,,1
G15_Y5_022_331,1,,,,
G02_Y4_038_249,,,,,1
