SPECID,SCORE
G09_Y1_DX1_257,10.3358727538395
G09_Y6_090_098,6.08937930216307
G09_Y1_EN2_362,3.8326521670177
G09_Y1_CN2_290,3.57029442952745
G15_Y4_202_018,3.03473633013561
G12_Y1_DS2_080,2.97174551985944
G09_Y4_207_257,2.80763338886958
G15_Y4_204_213,2.78969064491386
G09_Y5_034_133,2.53966963322335
G15_Y3_007_049,2.52259779244691
G09_Y4_207_307,2.48734432696729
G02_Y4_043_294,2.40394611836541
G09_Y4_215_016,2.36951720322342
G15_Y4_203_145,2.36913232758529
G02_Y3_014_201,2.33077208308156
G12_Y1_DS2_259,2.26755677136582
G15_Y1_EN1_155,2.26278693188814
G02_Y5_073_294,2.2511419786965
G15_Y2_020_294,2.24437461538472
G15_Y4_203_225,2.2442941766334
G15_Y6_088_026,2.22854554387368
G15_Y2_013_055,2.20709418434123
G09_Y4_215_057,2.19572750762001
G15_Y4_204_199,2.19327009418876
G12_Y1_GS2_209,2.18686849780482
G09_Y4_215_003,2.15454502314227
G02_Y4_039_027,2.12803998522902
G15_Y4_205_025,2.12617881939418
G09_Y1_CN2_339,2.11227635229538
G12_Y1_AS2_046,2.10418732874544
G15_Y1_AX2_021,2.06881904080958
G15_Y4_207_028,2.05903325413088
G02_Y4_043_122,2.05884982989776
G02_Y5_086_011,2.03630239498914
G02_Y3_015_104,2.03280741551649
G02_Y4_043_262,2.02637895759006
G09_Y1_CX2_186,2.02060870924232
G09_Y1_EN2_375,2.01447182395623
G02_Y3_015_284,2.01429549592333
G15_Y1_CN2_291,1.99886823590619
G15_Y1_CN1_212,1.99213947674351
G12_Y1_ES1_123,1.9892506770998
G12_Y1_ES1_201,1.98639517930252
G15_Y2_023_176,1.9752525824381
G09_Y1_FS1_037,1.97364249263199
G15_Y3_014_027,1.96555233374064
G15_Y5_029_228,1.96101292784273
G09_Y1_ES2_147,1.95693951151798
G02_Y4_043_330,1.95557421864971
G15_Y3_033_002,1.94832284390254
G15_Y4_202_017,1.93261663555102
G15_Y6_099_169,1.92075591768628
G15_Y4_202_155,1.91009550636411
G02_Y5_114_371,1.90974743167314
G12_Y1_GN1_022,1.90972944730873
G12_Y1_CN1_259,1.90653051477159
G15_Y5_005_225,1.90113989308213
G12_Y4_206_121,1.8917155370852
G12_Y4_204_203,1.89090830661278
G09_Y5_052_156,1.89018798792495
G15_Y3_007_102,1.88766872281151
G09_Y1_ES2_276,1.8854498168891
G15_Y4_202_130,1.8787589753308
G12_Y1_CX2_370,1.87848965699069
G12_Y1_FS1_180,1.87480237764555
G15_Y1_DS2_340,1.87387930785906
G15_Y3_001_243,1.87342955323692
G15_Y4_202_153,1.87295922321852
G15_Y3_007_236,1.86187840738017
G12_Y1_BX2_215,1.85771639657086
G15_Y3_050_003,1.85766373966769
G02_Y4_037_012,1.8492916464981
G15_Y4_202_141,1.84648302080853
G12_Y2_008_128,1.84610720115765
G12_Y1_HND1_169,1.83945000667361
G15_Y1_CS2_071,1.83789989405551
G09_Y2_036_125,1.83373079386554
G15_Y3_007_177,1.8298789523518
G15_Y1_GN2_259,1.82611086879321
G09_Y1_BX2_171,1.82199231543404
G02_Y6_008_014,1.82183944111976
G12_Y1_CN1_373,1.81985019566899
G15_Y6_101_365,1.81486711265233
G15_Y2_023_271,1.81143163212416
G15_Y6_098_294,1.80645719493419
G02_Y5_050_146,1.80630074036399
G09_Y4_249_125,1.80552007064235
G15_Y6_088_190,1.80424676028928
G15_Y2_014_370,1.80262700486476
G02_Y4_042_052,1.79991299450269
G02_Y3_009_086,1.79878517414183
G02_Y3_015_295,1.79497673320077
G09_Y4_223_208,1.7937031399232
G12_Y1_BS1_242,1.78894009381427
G15_Y3_002_237,1.78693973519531
G15_Y1_CX1_125,1.78304848418937
G09_Y1_GN2_327,1.78290916159316
G02_Y5_078_023,1.77902409585404
G12_Y1_CN1_079,1.77576297783588
G15_Y1_AX2_291,1.77561593932737
G02_Y4_043_236,1.77552167175656
G09_Y6_063_013,1.77473620458999
G15_Y1_ES1_229,1.77369494022307
G02_Y5_077_311,1.77318218644737
G15_Y4_235_349,1.77294538074333
G15_Y3_012_008,1.77271458000669
G02_Y5_111_257,1.76937900834251
G15_Y4_210_008,1.7669492094996
G09_Y1_DN2_004,1.76674726120122
G09_Y1_BN1_006,1.76356187455329
G15_Y3_002_255,1.7621359900337
G15_Y4_203_196,1.75479187554708
G02_Y4_026_338,1.74846107346204
G15_Y6_101_020,1.74589416956352
G12_Y4_209_335,1.74251275494211
G09_Y4_236_391,1.74088525241023
G15_Y1_CN2_034,1.73872669891835
G12_Y1_DN1_022,1.73817466885114
G15_Y4_212_188,1.73557136950447
G15_Y5_004_006,1.73452827101054
G15_Y4_212_204,1.73393942625538
G02_Y5_084_386,1.73100689725218
G02_Y5_078_020,1.73063490695754
G02_Y4_001_176,1.7305796441629
G15_Y5_029_005,1.73057904935258
G15_Y2_023_182,1.72818435750268
G02_Y3_006_179,1.7278804661245
G15_Y6_101_055,1.7273626388087
G15_Y3_039_245,1.72509597562052
G15_Y2_009_045,1.72290149956107
G15_Y2_013_039,1.72189763509929
G15_Y1_BX2_330,1.72041371979425
G09_Y4_227_183,1.71977915251851
G02_Y4_041_246,1.71974052994259
G09_Y1_BX2_136,1.71737759103831
G12_Y1_FT_261,1.71487991541826
G15_Y3_038_288,1.71264224489481
G09_Y1_IN2_076,1.71040059627391
G02_Y6_004_067,1.70895360909548
G15_Y2_014_366,1.70873568504343
G09_Y1_BS1_271,1.70828265860348
G09_Y2_042_055,1.70644868468515
G15_Y4_219_380,1.70546045571046
G15_Y3_048_387,1.70532258466561
G15_Y1_ES2_210,1.70422011372933
G09_Y4_215_160,1.70402423527697
G15_Y3_048_012,1.70274325701606
G15_Y6_097_036,1.70166782337381
G09_Y4_215_380,1.70000468694538
G15_Y1_CN2_011,1.69865188803751
G12_Y6_054_257,1.69754103604542
G15_Y1_BN1_062,1.6974347828522
G15_Y1_BN1_249,1.69657193446276
G15_Y1_BS2_263,1.69625453606466
G02_Y4_043_321,1.69553226167422
G09_Y4_214_210,1.69446736299931
G12_Y6_052_392,1.69394993476209
G12_Y1_AN1_254,1.69373059303364
G09_Y1_BX1_238,1.69136325039046
G15_Y3_047_035,1.69034887882763
G15_Y2_004_081,1.68402815539173
G15_Y1_HS1_277,1.68197548379804
G15_Y4_229_380,1.68191821006256
G12_Y1_DN1_012,1.68087141384076
G15_Y4_212_398,1.68043195476911
G02_Y5_089_203,1.67979469634964
G12_Y1_AN1_271,1.67893451497243
G12_Y1_FND1_145,1.67876108179046
G12_Y1_DS1_242,1.67743604581601
G12_Y1_DN1_364,1.67726931187169
G09_Y1_CS1_297,1.67724751552495
G09_Y4_227_270,1.67633307071533
G15_Y4_202_030,1.67476051807993
G09_Y6_090_043,1.67428973697049
G12_Y1_GS1_125,1.67314635352395
G09_Y4_231_266,1.67079323710876
G02_Y5_089_360,1.6704422839595
G12_Y1_CX1_253,1.67005633708025
G02_Y3_013_143,1.66951456176477
G15_Y3_021_188,1.66872627763536
G15_Y6_100_376,1.66868641574337
G12_Y5_007_137,1.66825455780447
G12_Y4_205_233,1.66659123155418
G02_Y5_095_193,1.66539234181041
G09_Y4_246_193,1.66414796636668
G12_Y5_023_010,1.66374041452781
G15_Y2_023_232,1.66355600577042
G02_Y5_057_348,1.66296762483808
G02_Y4_027_055,1.65922597758255
G15_Y3_007_085,1.65724632980408
G15_Y5_032_177,1.65456882052706
G12_Y4_202_004,1.6537651343169
G15_Y4_243_398,1.65341977982952
G15_Y1_BS2_010,1.6505775946799
G15_Y6_083_043,1.65033992563003
G02_Y4_025_189,1.64982739447029
G15_Y2_008_253,1.64975251834466
G12_Y4_205_019,1.64936385911853
G15_Y3_036_029,1.64805745841475
G02_Y4_042_206,1.64684522661442
G02_Y4_025_233,1.64668119073452
G09_Y1_FS1_152,1.64658639453355
G15_Y3_007_228,1.64609435437225
G09_Y3_002_252,1.64590529165237
G15_Y4_212_229,1.64496468206244
G09_Y4_212_273,1.64475726304397
G15_Y1_DN1_222,1.64422031522695
G02_Y4_041_229,1.64242689133245
G09_Y1_GN2_202,1.6416757467862
G02_Y3_002_341,1.64097902858104
G15_Y2_007_067,1.64086808819576
G12_Y4_204_367,1.63840240933131
