SPECID,SCORE
G02_Y5_060_294,0.020649206
G15_Y2_013_055,0.018633265
G09_Y1_EN2_375,0.015305927
G09_Y1_EN2_362,0.014866035
G09_Y1_CX2_186,0.014558854
G15_Y3_002_237,0.014531339
G09_Y6_090_098,0.013813371
G15_Y6_082_045,0.013477748
G15_Y4_203_325,0.013006277
G09_Y4_249_125,0.012499685
G09_Y4_208_024,0.012270937
G12_Y1_GS2_209,0.012235113
G09_Y1_CN2_290,0.012077572
G09_Y6_074_229,0.011977997
G09_Y4_218_101,0.011927957
G09_Y4_207_376,0.011805445
G02_Y3_019_117,0.011034999
G02_Y3_009_136,0.01098505
G02_Y6_006_127,0.010788264
G02_Y3_013_141,0.010490142
G09_Y1_AX2_002,0.01034848
G12_Y1_DS2_080,0.010324899
G15_Y6_081_395,0.010285939
G02_Y4_043_373,0.010258239
G09_Y2_042_235,0.01021828
G09_Y2_010_349,0.010214588
G12_Y6_051_123,0.010189006
G09_Y2_010_109,0.010123269
G15_Y2_013_324,0.010069704
G09_Y4_207_079,0.010043029
G02_Y4_043_236,0.009999781
G09_Y4_215_320,0.009928284
G02_Y4_043_262,0.009904845
G12_Y1_FS1_387,0.009904249
G02_Y5_073_294,0.009871623
G02_Y3_015_225,0.009728501
G15_Y3_023_077,0.009718559
G12_Y5_026_005,0.009711534
G12_Y1_BX1_322,0.009706868
G15_Y4_212_398,0.009635905
G02_Y4_036_392,0.009440826
G09_Y1_IN2_251,0.009403361
G12_Y2_020_060,0.009342127
G12_Y1_FT_012,0.009313762
G15_Y2_003_277,0.009232204
G15_Y2_014_370,0.009214779
G09_Y1_FN2_213,0.00920562
G02_Y6_003_072,0.009165557
G15_Y2_012_311,0.009134486
G12_Y1_FN1_127,0.009104675
G12_Y1_AT_117,0.009020382
G15_Y4_202_130,0.009006871
G09_Y4_226_278,0.0089727715
G12_Y1_AT_092,0.008881152
G15_Y3_004_087,0.008868407
G15_Y1_CN1_274,0.008859054
G12_Y1_AS1_199,0.008835826
G15_Y1_GN2_017,0.008818695
G02_Y3_016_116,0.008806864
G09_Y1_IN2_093,0.008685254
G15_Y1_CX1_364,0.008680418
G09_Y1_IS1_277,0.008679325
G15_Y2_005_242,0.008567784
G15_Y2_023_138,0.008539172
G12_Y2_035_201,0.008476841
