SPECID,TYPE,COMMENT,SIMBAD NOTES,REFERENCES OUTSIDE GAMA
G02_Y5_083_265,BLEND,M dwarf in front of Galaxy,-,0
G09_Y1_AX2_002,BLEND,M dwarf in front of Galaxy,Galaxy,0
G12_Y1_DS2_320,BLEND,M dwarf in front of Galaxy,Galaxy,0
G15_Y1_BS2_010,BLEND,M dwarf in front of Galaxy,Galaxy,0
G15_Y2_003_165,BLEND,M dwarf in front of Galaxy,Galaxy,0
G15_Y2_013_324,BLEND,M dwarf in front of Galaxy,Galaxy,0
G15_Y3_021_053,BLEND,M dwarf in front of Galaxy,Galaxy,0
G09_Y5_018_163,BLEND,Maybe O star in front of Galaxy,Emission-line galaxy,2
G09_Y1_HS1_004,BLEND,"Tiny galaxy in front of big one, questionable Ha source",Galaxy,0
G02_Y4_042_264,BPT,Also blend,Galaxy in Group,7
G09_Y1_CN1_168,BPT,Emission lines and diagonal continuum,Galaxy,6
G02_Y3_018_304,BPT,High and many emission lines,Galaxy,0
G02_Y5_061_198,BPT,High and many emission lines,-,0
G09_Y4_231_266,BPT,High and many emission lines,-,0
G12_Y1_AN1_124,BPT,High and many emission lines,Galaxy,0
G12_Y1_AN1_254,BPT,High and many emission lines,Galaxy,0
G12_Y1_BS1_058,BPT,High and many emission lines,Galaxy,0
G12_Y1_CN1_079,BPT,High and many emission lines,HII Galaxy,36
G12_Y1_IS1_078,BPT,High and many emission lines,-,0
G12_Y1_IS2_123,BPT,High and many emission lines,Galaxy,7
G12_Y6_050_014,BPT,High and many emission lines,Seyfert 1,143
G15_Y1_GN1_001,BPT,High and many emission lines,Galaxy,0
G15_Y3_016_128,BPT,High and many emission lines,Galaxy,0
G15_Y4_205_288,BPT,High and many emission lines,-,0
G15_Y4_234_172,BPT,High and many emission lines,-,0
G15_Y6_088_244,BPT,High and many emission lines,Galaxy,0
G15_Y6_089_265,BPT,High and many emission lines,Galaxy,0
G15_Y3_047_035,BPT,High and many emission lines and bad splice,-,0
G12_Y1_AS2_119,BPT,High and many emission lines and fringing,Galaxy,0
G09_Y4_207_339,BPT,High emission lines,-,0
G09_Y4_207_347,BPT,High emission lines,-,0
G09_Y1_DX1_117,BPT,High emission lines and blue,Galaxy,5
G09_Y4_207_378,BPT,High emission lines for a pretty normal continuum,-,0
G09_Y4_207_303,BPT,NII High,-,0
G15_Y3_009_097,BPT,Very extreme,Galaxy,0
G02_Y4_002_108,BPT,,-,0
G12_Y1_ND8_039,BPT,,Galaxy,0
G15_Y1_CX1_053,BPT,,Galaxy,0
G09_Y1_FS1_085,BROADENED,Broadening of emission lines,Galaxy,0
G15_Y2_007_169,BROADENED,Broadening of emission lines,-,0
G12_Y1_BX1_127,BROADENED,Complex and high NII,Galaxy,0
G02_Y3_015_210,BROADENED,Emission line broadening,-,0
G09_Y4_212_273,BROADENED,Emission line broadening,-,0
G12_Y1_IS1_080,BROADENED,Emission line broadening,Galaxy,0
G12_Y1_DS2_080,BROADENED,"Emission line broadening, Ae volgens comments",Active Galactic Nucleus,6
G15_Y4_206_189,BROADENED,Ha and NII bit structure,-,0
G09_Y6_063_013,BROADENED,Slight broadening of lines,-,0
G09_Y1_IS2_022,CONTINUUM,Blue galaxy,Galaxy,0
G15_Y1_DS2_125,CONTINUUM,Blue galaxy,Galaxy,0
G15_Y4_211_119,CONTINUUM,Blue galaxy,-,0
G12_Y1_BD1_108,CONTINUUM,Blue galaxy ,Galaxy,0
G15_Y1_CS1_071,CONTINUUM,Blue galaxy ,-,0
G15_Y1_DS2_102,CONTINUUM,Blue galaxy ,Galaxy,0
G02_Y4_043_333,CONTINUUM,Diagonal blue end with sky lines in red,-,0
G09_Y4_211_013,CONTINUUM,Diagonal red,-,0
G09_Y5_015_117,CONTINUUM,Diagonal red,Galaxy,2
G12_Y1_DS2_367,CONTINUUM,Diagonal red,Galaxy,0
G02_Y3_018_233,CONTINUUM,"Diagonal Red, no emission lines strong NaID",-,0
G09_Y4_207_387,CONTINUUM,"Diagonal Red, no emission lines strong NaID",-,0
G12_Y4_205_395,CONTINUUM,Diagonal up to 7000A and then flat,-,0
G02_Y4_043_265,CONTINUUM,High blue end,-,0
G09_Y4_215_246,CONTINUUM,High blue end,-,0
G15_Y1_DS2_097,CONTINUUM,High blue end,Galaxy,0
G15_Y1_DS2_106,CONTINUUM,High blue end,Galaxy,0
G15_Y1_DS2_123,CONTINUUM,High blue end,Galaxy,0
G15_Y1_DS2_124,CONTINUUM,High blue end,Galaxy,0
G15_Y4_202_230,CONTINUUM,High blue end,-,0
G15_Y4_202_266,CONTINUUM,High blue end,-,0
